,Average Weekly Earning,Home Price Index,Trade Balance
kurtosis,540.8078496376523,823.0445818669482,613.5336274992758
mean,659.4142616033757,170.53807172995775,-47672.77215189873
median,659.17,167.023,-44357.0
skewness,0.05249773125386094,0.14252034660798968,-0.13079526182580284
standard deviation,101.81259207101749,31.222983777829374,10618.154822247656
variance,10322.066335003297,970.7613205644756,112269493.63584888
