,Average Weekly Earning,Home Price Index,Trade Balance
Average Weekly Earning,10365.803904219412,2484.7027709642066,-145607.00915307866
Home Price Index,2484.7027709642066,974.8747159905962,-193351.04023251438
Trade Balance,-145607.00915307866,-193351.04023251438,112745211.82922113
