,Average Weekly Earning,Home Price Index,Trade Balance
Average Weekly Earning,1.0,0.7816251886527829,-0.13468887748669972
Home Price Index,0.7816251886527829,1.0,-0.5832074405408971
Trade Balance,-0.13468887748669972,-0.5832074405408971,1.0
